wheelbase,carlength,carwidth,carheight,enginesize,stroke,price
88.6,168.8,64.1,48.8,130,2.68,13495
88.6,168.8,64.1,48.8,130,2.68,16500
94.5,171.2,65.5,52.4,152,3.47,16500
99.8,176.6,66.2,54.3,109,3.4,13950
99.4,176.6,66.4,54.3,136,3.4,17450
99.8,177.3,66.3,53.1,136,3.4,15250
105.8,192.7,71.4,55.7,136,3.4,17710
105.8,192.7,71.4,55.7,136,3.4,18920
105.8,192.7,71.4,55.9,131,3.4,23875
99.5,178.2,67.9,52,131,3.4,17859.167
101.2,176.8,64.8,54.3,108,2.8,16430
101.2,176.8,64.8,54.3,108,2.8,16925
101.2,176.8,64.8,54.3,164,3.19,20970
101.2,176.8,64.8,54.3,164,3.19,21105
103.5,189,66.9,55.7,164,3.19,24565
103.5,189,66.9,55.7,209,3.39,30760
103.5,193.8,67.9,53.7,209,3.39,41315
110,197,70.9,56.3,209,3.39,36880
88.4,141.1,60.3,53.2,61,3.03,5151
94.5,155.9,63.6,52,90,3.11,6295
94.5,158.8,63.6,52,90,3.11,6575
93.7,157.3,63.8,50.8,90,3.23,5572
93.7,157.3,63.8,50.8,90,3.23,6377
93.7,157.3,63.8,50.8,98,3.39,7957
93.7,157.3,63.8,50.6,90,3.23,6229
93.7,157.3,63.8,50.6,90,3.23,6692
93.7,157.3,63.8,50.6,90,3.23,7609
93.7,157.3,63.8,50.6,98,3.39,8558
103.3,174.6,64.6,59.8,122,3.46,8921
95.9,173.2,66.3,50.2,156,3.9,12964
86.6,144.6,63.9,50.8,92,3.41,6479
86.6,144.6,63.9,50.8,92,3.41,6855
93.7,150,64,52.6,79,3.07,5399
93.7,150,64,52.6,92,3.41,6529
93.7,150,64,52.6,92,3.41,7129
96.5,163.4,64,54.5,92,3.41,7295
96.5,157.1,63.9,58.3,92,3.41,7295
96.5,167.5,65.2,53.3,110,3.58,7895
96.5,167.5,65.2,53.3,110,3.58,9095
96.5,175.4,65.2,54.1,110,3.58,8845
96.5,175.4,62.5,54.1,110,3.58,10295
96.5,175.4,65.2,54.1,110,3.58,12945
96.5,169.1,66,51,110,3.58,10345
94.3,170.7,61.8,53.5,111,3.23,6785
94.5,155.9,63.6,52,90,3.11,8916.5
94.5,155.9,63.6,52,90,3.11,8916.5
96,172.6,65.2,51.4,119,3.23,11048
113,199.6,69.6,52.8,258,4.17,32250
113,199.6,69.6,52.8,258,4.17,35550
102,191.7,70.6,47.8,326,2.76,36000
93.1,159.1,64.2,54.1,91,3.15,5195
93.1,159.1,64.2,54.1,91,3.15,6095
93.1,159.1,64.2,54.1,91,3.15,6795
93.1,166.8,64.2,54.1,91,3.15,6695
93.1,166.8,64.2,54.1,91,3.15,7395
95.3,169,65.7,49.6,70,3.255,10945
95.3,169,65.7,49.6,70,3.255,11845
95.3,169,65.7,49.6,70,3.255,13645
95.3,169,65.7,49.6,80,3.255,15645
98.8,177.8,66.5,53.7,122,3.39,8845
98.8,177.8,66.5,55.5,122,3.39,8495
98.8,177.8,66.5,53.7,122,3.39,10595
98.8,177.8,66.5,55.5,122,3.39,10245
98.8,177.8,66.5,55.5,122,3.39,10795
98.8,177.8,66.5,55.5,122,3.39,11245
104.9,175,66.1,54.4,140,3.16,18280
104.9,175,66.1,54.4,134,3.64,18344
110,190.9,70.3,56.5,183,3.64,25552
110,190.9,70.3,58.7,183,3.64,28248
106.7,187.5,70.3,54.9,183,3.64,28176
115.6,202.6,71.7,56.3,183,3.64,31600
115.6,202.6,71.7,56.5,234,3.1,34184
96.6,180.3,70.5,50.8,234,3.1,35056
120.9,208.1,71.7,56.7,308,3.35,40960
112,199.2,72,55.4,304,3.35,45400
102.7,178.4,68,54.8,140,3.12,16503
93.7,157.3,64.4,50.8,92,3.23,5389
93.7,157.3,64.4,50.8,92,3.23,6189
93.7,157.3,64.4,50.8,92,3.23,6669
93,157.3,63.8,50.8,98,3.39,7689
96.3,173,65.4,49.4,110,3.46,9959
96.3,173,65.4,49.4,122,3.46,8499
95.9,173.2,66.3,50.2,156,3.86,12629
95.9,173.2,66.3,50.2,156,3.86,14869
95.9,173.2,66.3,50.2,156,3.86,14489
96.3,172.4,65.4,51.6,122,3.46,6989
96.3,172.4,65.4,51.6,122,3.46,8189
96.3,172.4,65.4,51.6,110,3.46,9279
96.3,172.4,65.4,51.6,110,3.46,9279
94.5,165.3,63.8,54.5,97,3.29,5499
94.5,165.3,63.8,54.5,103,3.47,7099
94.5,165.3,63.8,54.5,97,3.29,6649
94.5,165.3,63.8,54.5,97,3.29,6849
94.5,170.2,63.8,53.5,97,3.29,7349
94.5,165.3,63.8,54.5,97,3.29,7299
94.5,165.6,63.8,53.3,97,3.29,7799
94.5,165.3,63.8,54.5,97,3.29,7499
94.5,170.2,63.8,53.5,97,3.29,7999
95.1,162.4,63.8,53.3,97,3.29,8249
97.2,173.4,65.2,54.7,120,3.47,8949
97.2,173.4,65.2,54.7,120,3.47,9549
100.4,181.7,66.5,55.1,181,3.27,13499
100.4,184.6,66.5,56.1,181,3.27,14399
100.4,184.6,66.5,55.1,181,3.27,13499
91.3,170.7,67.9,49.7,181,3.27,17199
91.3,170.7,67.9,49.7,181,3.27,19699
99.2,178.5,67.9,49.7,181,3.27,18399
107.9,186.7,68.4,56.7,120,3.19,11900
107.9,186.7,68.4,56.7,152,3.52,13200
114.2,198.9,68.4,58.7,120,3.19,12440
114.2,198.9,68.4,58.7,152,3.52,13860
107.9,186.7,68.4,56.7,120,2.19,15580
107.9,186.7,68.4,56.7,152,3.52,16900
114.2,198.9,68.4,56.7,120,2.19,16695
114.2,198.9,68.4,58.7,152,3.52,17075
107.9,186.7,68.4,56.7,120,3.19,16630
107.9,186.7,68.4,56.7,152,3.52,17950
108,186.7,68.3,56,134,3.21,18150
93.7,157.3,63.8,50.8,90,3.23,5572
93.7,157.3,63.8,50.8,98,3.39,7957
93.7,157.3,63.8,50.6,90,3.23,6229
93.7,167.3,63.8,50.8,90,3.23,6692
93.7,167.3,63.8,50.8,98,3.23,7609
103.3,174.6,64.6,59.8,122,3.46,8921
95.9,173.2,66.3,50.2,156,3.86,12764
94.5,168.9,68.3,50.2,151,3.11,22018
89.5,168.9,65,51.6,194,2.9,32528
89.5,168.9,65,51.6,194,2.9,34028
89.5,168.9,65,51.6,194,2.9,37028
98.4,175.7,72.3,50.5,203,3.11,31400.5
96.1,181.5,66.5,55.2,132,3.9,9295
96.1,176.8,66.6,50.5,132,3.9,9895
99.1,186.6,66.5,56.1,121,3.07,11850
99.1,186.6,66.5,56.1,121,3.07,12170
99.1,186.6,66.5,56.1,121,2.07,15040
99.1,186.6,66.5,56.1,121,3.07,15510
99.1,186.6,66.5,56.1,121,3.07,18150
99.1,186.6,66.5,56.1,121,3.07,18620
93.7,156.9,63.4,53.7,97,2.36,5118
93.7,157.9,63.6,53.7,108,2.64,7053
93.3,157.3,63.8,55.7,108,2.64,7603
97.2,172,65.4,52.5,108,2.64,7126
97.2,172,65.4,52.5,108,2.64,7775
97.2,172,65.4,52.5,108,2.64,9960
97,172,65.4,54.3,108,2.64,9233
97,172,65.4,54.3,108,2.64,11259
97,173.5,65.4,53,108,2.64,7463
97,173.5,65.4,53,108,2.64,10198
96.9,173.6,65.4,54.9,108,2.64,8013
96.9,173.6,65.4,54.9,108,2.64,11694
95.7,158.7,63.6,54.5,92,3.03,5348
95.7,158.7,63.6,54.5,92,3.03,6338
95.7,158.7,63.6,54.5,92,3.03,6488
95.7,169.7,63.6,59.1,92,3.03,6918
95.7,169.7,63.6,59.1,92,3.03,7898
95.7,169.7,63.6,59.1,92,3.03,8778
95.7,166.3,64.4,53,98,3.03,6938
95.7,166.3,64.4,52.8,98,3.03,7198
95.7,166.3,64.4,53,110,3.35,7898
95.7,166.3,64.4,52.8,110,3.35,7788
95.7,166.3,64.4,53,98,3.03,7738
95.7,166.3,64.4,52.8,98,3.03,8358
95.7,166.3,64.4,52.8,98,3.03,9258
94.5,168.7,64,52.6,98,3.03,8058
94.5,168.7,64,52.6,98,3.03,8238
94.5,168.7,64,52.6,98,3.08,9298
94.5,168.7,64,52.6,98,3.08,9538
98.4,176.2,65.6,52,146,3.5,8449
98.4,176.2,65.6,52,146,3.5,9639
98.4,176.2,65.6,52,146,3.5,9989
98.4,176.2,65.6,52,146,3.5,11199
98.4,176.2,65.6,52,146,3.5,11549
98.4,176.2,65.6,53,146,3.5,17669
102.4,175.6,66.5,54.9,122,3.54,8948
102.4,175.6,66.5,54.9,110,3.35,10698
102.4,175.6,66.5,53.9,122,3.54,9988
102.4,175.6,66.5,54.9,122,3.54,10898
102.4,175.6,66.5,53.9,122,3.54,11248
102.9,183.5,67.7,52,171,3.35,16558
102.9,183.5,67.7,52,171,3.35,15998
104.5,187.8,66.5,54.1,171,3.35,15690
104.5,187.8,66.5,54.1,161,3.35,15750
97.3,171.7,65.5,55.7,97,3.4,7775
97.3,171.7,65.5,55.7,109,3.4,7975
97.3,171.7,65.5,55.7,97,3.4,7995
97.3,171.7,65.5,55.7,109,3.4,8195
97.3,171.7,65.5,55.7,109,3.4,8495
97.3,171.7,65.5,55.7,97,3.4,9495
97.3,171.7,65.5,55.7,109,3.4,9995
94.5,159.3,64.2,55.6,109,3.4,11595
94.5,165.7,64,51.4,109,3.4,9980
100.4,180.2,66.9,55.1,136,3.4,13295
100.4,180.2,66.9,55.1,97,3.4,13845
100.4,183.1,66.9,55.1,109,3.4,12290
104.3,188.8,67.2,56.2,141,3.15,12940
104.3,188.8,67.2,57.5,141,3.15,13415
104.3,188.8,67.2,56.2,141,3.15,15985
104.3,188.8,67.2,57.5,141,3.15,16515
104.3,188.8,67.2,56.2,130,3.15,18420
104.3,188.8,67.2,57.5,130,3.15,18950
109.1,188.8,68.9,55.5,141,3.15,16845
109.1,188.8,68.8,55.5,141,3.15,19045
109.1,188.8,68.9,55.5,173,2.87,21485
109.1,188.8,68.9,55.5,145,3.4,22470
109.1,188.8,68.9,55.5,141,3.15,22625
